"","w1","w2","w3","N"
"218","seasons","ccomma","four",2
"219","ccomma","four","loves",2
"220","four","loves","pperiod",2
"221","sstart","i'm","afraid",2
"222","sstart","it's","a",2
"223","zuko","eexclamation","eend",2
"224","sstart","zuko","ppause",2
"225","will","not","be",2
"226","sstart","sstart","they",2
"227","pperiod","it","will",2
"228","it","will","be",2
"229","to","the","fire",2
"230","thing","pperiod","eend",2
"231","the","north","pole",2
"232","ccomma","admiral","pperiod",2
"233","pperiod","you","should",2
"234","ever","since","i",2
"235","sstart","i","think",2
"236","sstart","i","don't",2
"237","we","have","a",2
"238","pperiod","if","we",2
"239","if","we","don't",2
"240","the","water","tribe",2
"241","zhao","ccomma","the",2
"242","sstart","he","is",2
"243","sstart","you","have",2
"244","you","have","been",2
"245","it","qquestion","eend",2
"246","sstart","i'm","sure",2
"247","sstart","sstart","to",2
"248","anything","pperiod","eend",2
"249","zuko","ccomma","i",2
"250","sstart","sstart","wait",2
"251","sstart","wait","eexclamation",2
"252","me","eexclamation","eend",2
"253","right","qquestion","eend",2
"254","go","eexclamation","eend",2
"255","that","ccomma","or",2
"256","the","white","jade",2
"257","wasn't","pperiod","eend",2
"258","of","the","earth",2
"259","nation","pperiod","eend",2
"260","you","need","to",2
"261","people","pperiod","eend",2
"262","sstart","what","are",2
"263","what","are","you",2
"264","are","you","doing",2
"265","you","doing","qquestion",2
"266","sstart","sstart","spare",2
"267","sstart","sstart","not",2
"268","to","ba","ddash",2
"269","where","did","you",2
"270","did","you","get",2
"271","pperiod","i","know",2
"272","pperiod","there","is",2
"273","no","ccomma","zuko",2
"274","ccomma","good","pperiod",2
"275","first","pperiod","eend",2
"276","is","nothing","wrong",2
"277","nothing","wrong","with",2
"278","ccomma","a","little",2
"279","pperiod","he","is",2
"280","away","pperiod","eend",2
"281","it","is","not",2
"282","and","negative","energy",2
"283","to","restore","balance",2
"284","lightning","pperiod","eend",2
"285","ccomma","you","do",2
"286","you","do","not",2
"287","it","pperiod","you",2
"288","pperiod","you","are",2
"289","i","was","afraid",2
"290","be","able","to",2
"291","ccomma","you","must",2
"292","of","power","pperiod",2
"293","power","pperiod","the",2
"294","of","the","fire",2
"295","ccomma","and","the",2
"296","energy","in","your",2
"297","pperiod","you","must",2
"298","pperiod","the","stomach",2
"299","ccomma","it","is",2
"300","is","more","like",2
"301","ccomma","are","you",2
"302","sstart","sstart","come",2
"303","sstart","come","on",2
