"","w1","w2","w3","N"
"211","do","that","qquestion",6
"212","the","world","pperiod",6
"213","world","pperiod","eend",6
"214","sstart","what","about",6
"215","air","temple","pperiod",6
"216","temple","pperiod","eend",6
"217","is","it","qquestion",6
"218","pperiod","we","have",6
"219","i","know","pperiod",6
"220","this","qquestion","eend",6
"221","ccomma","sokka","ccomma",6
"222","sstart","hello","qquestion",6
"223","we","have","to",6
"224","sstart","sstart","ugh",6
"225","sstart","ugh","eexclamation",6
"226","avatar","pperiod","eend",6
"227","you","know","what",6
"228","what","am","i",6
"229","i","supposed","to",6
"230","this","is","the",6
"231","sstart","thanks","ccomma",6
"232","sstart","sstart","he",6
"233","the","spirit","world",6
"234","do","qquestion","eend",6
"235","pperiod","this","is",6
"236","hundred","years","ago",6
"237","sstart","sstart","like",6
"238","momo","qquestion","eend",6
"239","momo","eexclamation","eend",6
"240","sstart","sstart","i've",6
"241","ccomma","i","just",6
"242","pperiod","i'm","going",6
"243","no","ccomma","i",6
"244","us","pperiod","eend",6
"245","can't","pperiod","eend",6
"246","katara","eexclamation","eend",6
"247","supposed","to","be",6
"248","you","doing","qquestion",6
"249","i","was","just",6
"250","do","it","pperiod",6
"251","all","pperiod","eend",6
"252","sstart","sstart","roku",6
"253","avatar","state","pperiod",6
"254","need","to","do",6
"255","ccomma","no","ccomma",6
"256","sstart","ok","ccomma",6
"257","ms","pperiod","eend",6
"258","sstart","zuko","ccomma",6
"259","what's","going","on",5
"260","sure","pperiod","eend",5
"261","buddy","pperiod","eend",5
"262","sstart","okay","pperiod",5
"263","pperiod","i","didn't",5
"264","aaahhh","eexclamation","eend",5
"265","ccomma","i","have",5
"266","i","have","a",5
"267","pperiod","i","have",5
"268","in","the","fire",5
"269","sstart","thanks","for",5
"270","you","too","pperiod",5
"271","sstart","so","ppause",5
"272","sstart","all","right",5
"273","i","know","ccomma",5
"274","ccomma","sokka","eexclamation",5
"275","to","get","to",5
"276","right","pperiod","eend",5
"277","i'm","ready","to",5
"278","come","back","eexclamation",5
"279","sstart","sstart","ppause",5
"280","sstart","momo","ccomma",5
"281","sstart","actually","ccomma",5
"282","right","now","pperiod",5
"283","ccomma","but","there's",5
"284","great","pperiod","eend",5
"285","appa","pperiod","eend",5
"286","i","used","to",5
"287","bumi","pperiod","eend",5
"288","am","i","supposed",5
"289","how","do","you",5
"290","sstart","sstart","they",5
"291","sorry","eexclamation","eend",5
"292","ccomma","i","need",5
"293","i","don't","have",5
"294","i","had","to",5
"295","i","wish","i",5
"296","sstart","sstart","ow",5
"297","sstart","sstart","right",5
"298","to","teach","me",5
"299","to","me","pperiod",5
"300","sstart","please","ccomma",5
"301","sstart","sstart","hang",5
"302","sstart","hang","on",5
"303","be","able","to",5
"304","but","i","can't",5
"305","ccomma","boy","eexclamation",5
"306","sstart","but","i",5
"307","need","to","get",5
"308","get","to","the",5
"309","did","you","know",5
"310","sstart","you","could",5
"311","get","it","pperiod",5
"312","sokka","ccomma","you",5
"313","sstart","i","thought",5
"314","sstart","sstart","um",5
"315","you","know","ccomma",5
"316","try","pperiod","eend",5
"317","i","think","i",5
"318","when","i","was",5
"319","ok","pperiod","eend",5
"320","doing","qquestion","eend",5
"321","thanks","pperiod","eend",5
"322","i","was","in",5
"323","to","tell","you",5
"324","oh","no","eexclamation",5
"325","sstart","but","what",5
"326","sstart","sstart","are",5
"327","pperiod","but","i",5
"328","i","can","do",5
"329","people","pperiod","eend",5
"330","sstart","sstart","do",5
"331","sstart","do","you",5
"332","need","to","find",5
"333","at","all","pperiod",5
"334","in","trouble","pperiod",5
"335","do","this","pperiod",5
"336","sstart","no","ppause",5
"337","are","we","gonna",5
"338","ccomma","isn't","it",5
"339","isn't","it","qquestion",5
"340","is","pperiod","eend",5
"341","sstart","sstart","toph",5
"342","i","know","i",5
"343","face","the","fire",5
"344","fire","lord","ozai",5
"345","pperiod","good","night",5
"346","eexclamation","are","you",4
"347","sstart","sstart","haha",4
"348","sstart","haha","eexclamation",4
"349","don't","worry","pperiod",4
"350","ccomma","do","you",4
"351","sstart","sstart","really",4
"352","sstart","really","qquestion",4
"353","hold","on","tight",4
"354","appa","ccomma","yip",4
"355","ccomma","yip","yip",4
"356","sstart","sstart","appa's",4
"357","ppause","i","was",4
"358","about","qquestion","eend",4
"359","i","mean","ccomma",4
"360","ccomma","i","knew",4
