"","w1","w2","w3","N"
"219","pperiod","i","am",3
"220","sorry","pperiod","eend",3
"221","sstart","what","do",3
"222","my","honor","ccomma",3
"223","how","did","you",3
"224","sstart","i","need",3
"225","pperiod","you","have",3
"226","sstart","it's","not",3
"227","sstart","where","is",3
"228","do","you","think",3
"229","now","qquestion","eend",3
"230","sstart","sstart","for",3
"231","ccomma","i'm","not",3
"232","sstart","i'm","not",3
"233","sstart","sstart","good",3
"234","have","to","do",3
"235","to","do","this",3
"236","her","pperiod","eend",3
"237","ccomma","you","don't",3
"238","i","will","pperiod",3
"239","fine","pperiod","eend",3
"240","ccomma","i","don't",3
"241","who","i","am",3
"242","i","am","pperiod",3
"243","you","doing","here",3
"244","doing","here","qquestion",3
"245","sstart","we're","going",3
"246","you","doing","qquestion",3
"247","doing","qquestion","eend",3
"248","sstart","we","need",3
"249","help","pperiod","eend",3
"250","the","earth","kingdom",3
"251","it","is","pperiod",3
"252","sstart","yes","ccomma",3
"253","ccomma","uh","ppause",3
"254","i","haven't","seen",3
"255","thank","you","pperiod",3
"256","sstart","what","does",3
"257","what","does","it",3
"258","pperiod","i","need",3
"259","would","you","like",3
"260","die","qquestion","eend",3
"261","are","you","talking",3
"262","you","talking","about",3
"263","you","know","what",3
"264","sstart","sstart","azula",3
"265","azula","always","lies",3
"266","always","lies","ppause",3
"267","i","know","who",3
"268","of","the","fire",3
"269","sstart","sstart","where's",3
"270","sstart","sstart","not",3
"271","sstart","it","was",3
"272","sstart","i","hope",3
"273","i'm","ready","to",3
"274","but","i","don't",3
"275","sstart","you","can",3
"276","well","ccomma","i",3
"277","sstart","no","one",3
"278","about","qquestion","eend",3
"279","i","thought","you",3
"280","going","to","do",3
"281","sstart","sstart","hello",3
"282","you","want","me",3
"283","that","was","a",3
"284","my","girlfriend","eexclamation",3
"285","girlfriend","eexclamation","eend",3
"286","sstart","you","have",3
"287","pperiod","it's","a",3
"288","pperiod","it","was",3
"289","it","was","my",3
"290","qquestion","what","are",3
"291","sstart","sstart","first",3
"292","out","of","here",3
"293","out","eexclamation","eend",3
"294","my","own","destiny",3
"295","right","pperiod","eend",3
"296","sstart","it's","a",3
"297","what","is","it",3
"298","my","face","pperiod",3
"299","changed","pperiod","eend",3
"300","sing","se","ccomma",3
"301","too","pperiod","eend",3
"302","sstart","okay","ccomma",3
"303","i","thought","it",3
"304","i","need","your",3
"305","alive","pperiod","i",3
"306","this","qquestion","eend",3
"307","well","ccomma","what",3
"308","what's","wrong","with",3
"309","you","pperiod","you",3
"310","don't","you","just",3
"311","at","me","pperiod",3
"312","me","pperiod","i",3
"313","don't","know","why",3
"314","no","ccomma","no",3
"315","no","eexclamation","eend",3
"316","great","ddash","grandfather's",3
"317","sstart","wait","pperiod",3
"318","be","able","to",3
"319","sstart","sstart","oh",3
"320","to","tell","me",3
"321","sstart","sstart","think",3
"322","ccomma","my","father",3
"323","in","the","fire",3
"324","to","find","the",3
"325","i","have","a",3
"326","pperiod","i","mean",3
"327","i","mean","ccomma",3
"328","firebending","pperiod","eend",3
"329","you","pperiod","i'm",3
"330","ccomma","that's","not",3
"331","to","help","you",3
"332","sstart","sstart","just",3
"333","sstart","sstart","more",3
"334","my","uncle","pperiod",3
"335","sstart","sstart","at",3
"336","sstart","at","least",3
"337","up","to","you",3
"338","to","do","qquestion",3
"339","do","qquestion","eend",3
"340","trust","me","pperiod",3
"341","father","pperiod","eend",3
"342","sstart","sstart","mai",3
"343","pperiod","it's","my",3
"344","pperiod","it's","the",3
"345","sstart","sstart","finally",2
"346","it's","about","to",2
"347","come","to","an",2
"348","end","pperiod","eend",2
"349","eexclamation","i","need",2
"350","need","to","capture",2
"351","head","a","course",2
"352","on","the","avatar's",2
"353","sstart","sstart","ha",2
"354","sstart","sstart","enough",2
