"","w1","w2","w3","N"
"218","sstart","we","can",2
"219","pperiod","three","on",2
"220","three","on","three",2
"221","all","pperiod","eend",2
"222","sstart","sstart","okay",2
"223","eexclamation","qquestion","eend",2
"224","sstart","no","eexclamation",2
"225","no","eexclamation","i",2
"226","to","say","pperiod",2
"227","say","pperiod","you",2
"228","pperiod","you","think",2
"229","sstart","i","never",2
"230","sstart","yeah","eexclamation",2
"231","go","eexclamation","eend",2
"232","a","little","too",2
"233","i","know","what",2
"234","know","what","you're",2
"235","i","look","like",2
"236","by","myself","pperiod",2
"237","myself","pperiod","eend",2
"238","pperiod","but","i",2
"239","but","i","can",2
"240","your","nephew","qquestion",2
"241","ccomma","even","if",2
"242","it","pperiod","thank",2
"243","pperiod","thank","you",2
"244","help","pperiod","eend",2
"245","sstart","sstart","let's",2
"246","a","rock","pperiod",2
"247","pperiod","if","you're",2
"248","you're","going","to",2
"249","going","to","move",2
"250","pperiod","i'll","try",2
"251","sstart","sstart","rocklike",2
"252","sstart","rocklike","eexclamation",2
"253","rocklike","eexclamation","eend",2
"254","i'm","going","to",2
"255","you","have","the",2
"256","stop","the","rock",2
"257","pperiod","actually","ccomma",2
"258","there","is","a",2
"259","thank","you","ccomma",2
"260","you","ccomma","katara",2
"261","better","pperiod","eend",2
"262","sstart","sstart","aang",2
"263","about","it","pperiod",2
"264","around","here","pperiod",2
"265","sstart","sstart","just",2
"266","sstart","i","guess",2
"267","sstart","do","it",2
"268","now","pperiod","eend",2
"269","stood","your","ground",2
"270","your","ground","against",2
"271","stuff","pperiod","eend",2
"272","it","eexclamation","eend",2
"273","earthbender","pperiod","eend",2
"274","sstart","sstart","yep",2
"275","sstart","yep","pperiod",2
"276","to","find","some",2
"277","times","pperiod","eend",2
"278","sstart","sstart","uh",2
"279","what","about","me",2
"280","about","me","qquestion",2
"281","i","get","to",2
"282","does","this","place",2
"283","do","it","for",2
"284","sstart","let","me",2
"285","to","pperiod","eend",2
"286","sstart","what's","up",2
"287","up","qquestion","eend",2
"288","so","ccomma","you",2
"289","sstart","sstart","of",2
"290","sstart","of","course",2
"291","where","i","can",2
"292","can","see","pperiod",2
"293","pperiod","well","ccomma",2
"294","you","do","pperiod",2
"295","do","pperiod","i",2
"296","fuzzy","pperiod","eend",2
"297","told","you","ccomma",2
"298","the","library's","sinking",2
"299","sinking","eexclamation","eend",2
"300","now","qquestion","eend",2
"301","sstart","don't","make",2
"302","don't","make","me",2
"303","make","me","put",2
"304","me","put","this",2
"305","put","this","down",2
"306","down","pperiod","eend",2
"307","i'm","sorry","appa",2
"308","sorry","appa","pperiod",2
"309","out","here","pperiod",2
"310","sstart","no","pperiod",2
"311","water","qquestion","eend",2
"312","sstart","sstart","can",2
"313","i","never","thought",2
"314","so","much","pperiod",2
"315","sstart","sstart","ahhh",2
"316","sstart","you","said",2
"317","way","to","go",2
"318","of","this","pperiod",2
"319","sstart","sstart","thank",2
"320","sstart","thank","you",2
"321","sstart","what","does",2
"322","what","does","it",2
"323","does","it","say",2
"324","it","say","qquestion",2
"325","say","qquestion","eend",2
"326","coming","eexclamation","eend",2
"327","go","ahead","and",2
"328","ahead","and","let",2
"329","are","you","going",2
"330","you","going","to",2
"331","again","qquestion","eend",2
"332","problem","pperiod","eend",2
"333","able","to","see",2
"334","sstart","no","way",2
"335","up","eexclamation","eend",2
"336","sstart","you","guys",2
"337","sstart","sstart","here",2
"338","sstart","here","it",2
