"","w1","w2","w3","N"
"216","need","to","find",5
"217","right","pperiod","eend",5
"218","sstart","wow","ccomma",5
"219","pperiod","you","know",5
"220","don't","know","what",5
"221","you","know","what",5
"222","sstart","sstart","my",5
"223","doing","qquestion","eend",5
"224","sstart","what","about",5
"225","please","pperiod","eend",5
"226","sstart","sstart","um",5
"227","sstart","really","qquestion",5
"228","just","a","little",5
"229","maybe","we","should",5
"230","sstart","sstart","actually",5
"231","pperiod","you","have",5
"232","we've","got","to",5
"233","right","now","ccomma",5
"234","sstart","sstart","do",5
"235","pperiod","but","you",5
"236","pperiod","we","need",5
"237","sstart","i","have",5
"238","pperiod","sokka","ccomma",5
"239","the","earth","king",5
"240","ccomma","look","eexclamation",4
"241","sstart","sstart","stop",4
"242","what","is","it",4
"243","i","guess","i",4
"244","what","happened","to",4
"245","sstart","no","pperiod",4
"246","a","long","time",4
"247","don't","know","pperiod",4
"248","it","pperiod","the",4
"249","sokka","ccomma","you're",4
"250","do","this","pperiod",4
"251","ccomma","aang","ccomma",4
"252","there's","no","way",4
"253","sstart","sstart","please",4
"254","ccomma","we","need",4
"255","ccomma","appa","pperiod",4
"256","sstart","you","did",4
"257","you","did","it",4
"258","sstart","how","did",4
"259","how","did","you",4
"260","ccomma","right","qquestion",4
"261","right","qquestion","eend",4
"262","i","want","to",4
"263","pperiod","the","fire",4
"264","sstart","what's","wrong",4
"265","wrong","qquestion","eend",4
"266","do","you","know",4
"267","down","pperiod","eend",4
"268","sstart","sstart","ppause",4
"269","and","i","know",4
"270","i","know","how",4
"271","him","qquestion","eend",4
"272","that","thing","qquestion",4
"273","thing","qquestion","eend",4
"274","a","bunch","of",4
"275","to","see","you",4
"276","can","you","help",4
"277","back","to","the",4
"278","do","you","mean",4
"279","for","you","pperiod",4
"280","inside","pperiod","eend",4
"281","the","only","way",4
"282","the","right","thing",4
"283","qquestion","eexclamation","eend",4
"284","sstart","wait","ccomma",4
"285","sstart","hi","ccomma",4
"286","sstart","we're","not",4
"287","sstart","but","ccomma",4
"288","sstart","how","can",4
"289","you","say","that",4
"290","say","that","qquestion",4
"291","to","me","pperiod",4
"292","her","pperiod","eend",4
"293","sstart","sstart","haru",4
"294","to","the","fire",4
"295","we","don't","need",4
"296","sstart","we","can't",4
"297","are","you","sure",4
"298","ccomma","i","guess",4
"299","now","qquestion","eend",4
"300","with","you","pperiod",4
"301","sstart","hey","aang",4
"302","come","back","pperiod",4
"303","sstart","it's","ok",4
"304","how","are","you",4
"305","when","we","were",4
"306","we","can","do",4
"307","you're","right","pperiod",4
"308","did","pperiod","eend",4
"309","pperiod","if","you",4
"310","ccomma","if","you",4
"311","i","know","ccomma",4
"312","sstart","i","just",4
"313","don't","want","to",4
"314","aang","pperiod","i",4
"315","why","don't","you",4
"316","sstart","look","eexclamation",4
"317","sstart","why","would",4
"318","sstart","this","isn't",4
"319","can't","believe","i",4
"320","sstart","um","ppause",4
"321","sstart","you're","a",4
"322","sstart","sstart","everyone",4
"323","the","avatar","ccomma",4
"324","don't","know","if",4
"325","mean","qquestion","eend",4
"326","like","that","pperiod",4
"327","sstart","i'm","going",4
"328","really","qquestion","eend",4
"329","we","should","go",4
"330","sstart","sstart","just",4
"331","sstart","actually","ccomma",4
"332","one","more","thing",4
"333","sstart","wait","eexclamation",4
"334","dad","pperiod","eend",4
"335","sstart","do","you",4
"336","master","pakku","pperiod",4
"337","sstart","sstart","she",4
"338","pperiod","maybe","we",4
"339","to","pperiod","eend",4
"340","think","so","pperiod",4
"341","sstart","maybe","you",4
"342","maybe","you","should",4
"343","sstart","i","thought",4
"344","trying","to","say",4
"345","to","say","is",4
"346","i'm","going","to",4
"347","sstart","sstart","toph",4
"348","sstart","toph","ccomma",4
"349","what's","wrong","with",4
"350","think","we","should",4
"351","i","knew","you",4
"352","ba","ddash","sing",4
"353","ddash","sing","ddash",4
"354","sing","ddash","se",4
"355","pperiod","we","can",4
"356","need","to","go",4
"357","need","to","get",4
"358","sing","se","pperiod",4
"359","ccomma","and","this",4
"360","it","doesn't","matter",4
"361","the","dai","li",4
"362","why","would","you",4
"363","i","wish","i",4
"364","i","was","just",4
"365","i","shouldn't","have",4
"366","sstart","sstart","dad",4
"367","sstart","hey","eexclamation",3
"368","water","pperiod","eend",3
"369","sstart","uh","ppause",3
"370","pperiod","i","guess",3
"371","pperiod","you","can",3
"372","sokka","pperiod","you",3
"373","like","that","qquestion",3
"374","happened","to","the",3
"375","avatar","pperiod","eend",3
"376","sstart","okay","pperiod",3
"377","goodnight","pperiod","eend",3
"378","aang","eexclamation","aang",3
"379","it's","okay","pperiod",3
"380","aang","ccomma","this",3
"381","sstart","that","was",3
"382","south","pole","pperiod",3
"383","pperiod","it's","not",3
"384","world","pperiod","eend",3
"385","aang","ccomma","stop",3
"386","ccomma","stop","eexclamation",3
"387","part","of","the",3
"388","a","hundred","years",3
"389","you","don't","know",3
"390","it's","the","only",3
"391","sorry","ccomma","aang",3
"392","let's","get","out",3
"393","ccomma","let's","go",3
"394","let's","go","eexclamation",3
"395","to","find","a",3
"396","a","waterbender","eexclamation",3
"397","the","south","pole",3
"398","go","qquestion","eend",3
"399","out","of","the",3
"400","this","eexclamation","eend",3
"401","ccomma","no","one",3
"402","i","know","you",3
"403","ccomma","appa","ccomma",3
"404","your","help","pperiod",3
"405","ccomma","sokka","eexclamation",3
"406","eexclamation","aang","eexclamation",3
"407","okay","qquestion","eend",3
"408","qquestion","it","was",3
"409","sstart","why","didn't",3
"410","you","were","the",3
"411","were","the","avatar",3
"412","the","avatar","qquestion",3
"413","ccomma","you","need",3
"414","i","know","you're",3
"415","ccomma","but","it's",3
"416","home","pperiod","eend",3
"417","sstart","it's","just",3
"418","time","pperiod","eend",3
"419","get","to","the",3
"420","ccomma","i","want",3
"421","i","just","want",3
"422","know","it's","hard",3
"423","aang","ccomma","it's",3
"424","what's","wrong","qquestion",3
"425","are","you","going",3
"426","going","qquestion","eend",3
"427","all","these","people",3
"428","sstart","sstart","of",3
"429","sstart","of","course",3
"430","these","people","are",3
"431","is","that","qquestion",3
"432","name","qquestion","eend",3
"433","sstart","it's","okay",3
"434","fault","pperiod","eend",3
"435","you","ready","to",3
"436","sstart","that's","great",3
"437","sstart","sstart","all",3
"438","sstart","what","was",3
"439","sstart","aang","ppause",3
"440","sstart","sstart","right",3
"441","sstart","right","pperiod",3
"442","avatar","pperiod","i",3
"443","pperiod","i","just",3
"444","qquestion","i","thought",3
"445","sstart","that's","ridiculous",3
"446","that's","ridiculous","pperiod",3
"447","sstart","yeah","pperiod",3
"448","sstart","sstart","great",3
"449","sstart","i'm","glad",3
"450","on","ccomma","aang",3
"451","sstart","zuko","eexclamation",3
"452","zuko","eexclamation","eend",3
"453","going","to","be",3
"454","yes","ccomma","it",3
"455","ccomma","it","was",3
"456","it","could","be",3
"457","nice","to","meet",3
"458","nice","pperiod","eend",3
"459","tomorrow","pperiod","eend",3
"460","pperiod","it's","a",3
"461","a","part","of",3
"462","sstart","thanks","pperiod",3
"463","thanks","pperiod","eend",3
"464","man","pperiod","eend",3
"465","sstart","sstart","see",3
"466","sstart","haru","ccomma",3
"467","sstart","it","was",3
"468","earthbending","pperiod","eend",3
"469","sstart","aang","pperiod",3
"470","did","you","get",3
"471","to","find","you",3
"472","sstart","if","you",3
"473","if","you","don't",3
"474","of","you","pperiod",3
"475","these","people","pperiod",3
"476","has","to","be",3
"477","a","way","to",3
"478","way","to","help",3
"479","my","mother's","necklace",3
"480","ccomma","are","you",3
"481","sstart","sstart","shh",3
"482","sstart","shh","eexclamation",3
"483","pperiod","it","has",3
"484","a","teacher","pperiod",3
"485","teacher","pperiod","eend",3
"486","hey","aang","ccomma",3
"487","are","you","ready",3
"488","up","qquestion","eend",3
"489","then","qquestion","eend",3
"490","ccomma","can","you",3
"491","be","okay","pperiod",3
"492","it's","ok","ccomma",3
"493","i","don't","see",3
"494","go","back","to",3
"495","where's","sokka","qquestion",3
"496","pperiod","how","are",3
"497","proud","of","you",3
"498","to","do","all",3
"499","sstart","i","was",3
"500","appa","pperiod","eend",3
"501","sstart","sstart","you've",3
"502","do","pperiod","eend",3
"503","going","to","make",3
"504","out","of","this",3
"505","this","qquestion","eend",3
"506","we'll","need","to",3
"507","right","away","pperiod",3
"508","to","learn","waterbending",3
"509","learn","waterbending","pperiod",3
"510","aang","ccomma","i'm",3
"511","ccomma","you","know",3
"512","anymore","pperiod","eend",3
"513","momo","pperiod","eend",3
"514","you","get","that",3
"515","get","that","qquestion",3
"516","sstart","thanks","ccomma",3
"517","ccomma","momo","pperiod",3
"518","aang","ccomma","look",3
"519","pperiod","i'm","sorry",3
"520","anyway","pperiod","eend",3
"521","sstart","why","do",3
"522","pperiod","he","has",3
"523","on","top","of",3
"524","he's","the","avatar",3
"525","what","qquestion","no",3
"526","story","pperiod","eend",3
"527","out","pperiod","eend",3
"528","sstart","sstart","jet",3
"529","sstart","yeah","ccomma",3
"530","don't","know","ppause",3
"531","well","ccomma","we",3
"532","this","isn't","the",3
"533","sstart","sstart","goodbye",3
"534","sstart","sstart","sounds",3
"535","good","pperiod","eend",3
"536","tribe","qquestion","eend",3
"537","give","him","a",3
"538","don't","think","so",3
"539","ccomma","wait","eexclamation",3
"540","i","don't","care",3
"541","sstart","we","need",3
"542","we","need","you",3
"543","about","it","qquestion",3
"544","to","get","a",3
"545","sstart","you","have",3
"546","on","yourself","pperiod",3
"547","hope","pperiod","eend",3
"548","safe","pperiod","eend",3
"549","ccomma","momo","ccomma",3
"550","pperiod","aang","ccomma",3
"551","how","do","i",3
"552","sstart","maybe","we",3
"553","actually","ccomma","i",3
"554","ccomma","do","you",3
"555","sstart","sstart","tell",3
"556","please","eexclamation","eend",3
"557","more","thing","pperiod",3
"558","sstart","sstart","can",3
"559","sstart","sstart","bato",3
"560","sstart","no","way",3
"561","enough","pperiod","eend",3
"562","are","you","talking",3
"563","you","talking","about",3
"564","sstart","i'll","be",3
"565","a","good","idea",3
"566","sstart","i'm","sure",3
"567","you","should","take",3
"568","i","think","i",3
"569","what","are","we",3
"570","war","balloon","qquestion",3
"571","balloon","qquestion","eend",3
"572","qquestion","can","you",3
"573","sstart","look","ccomma",3
"574","we're","all","just",3
"575","beautiful","pperiod","eend",3
"576","sstart","thanks","for",3
"577","ccomma","you","can",3
"578","sstart","sstart","fine",3
"579","fine","pperiod","eend",3
"580","spirit","world","pperiod",3
"581","not","going","to",3
"582","much","of","a",3
"583","sstart","sstart","thank",3
"584","thank","you","ccomma",3
"585","up","eexclamation","eend",3
"586","must","have","been",3
"587","sstart","sstart","aaahhh",3
"588","sstart","aaahhh","eexclamation",3
"589","pperiod","let","me",3
"590","sstart","sstart","sokka's",3
"591","come","pperiod","eend",3
"592","sstart","sstart","both",3
"593","i'm","not","sure",3
"594","do","qquestion","eend",3
"595","we","were","just",3
"596","sstart","sstart","does",3
"597","sstart","sstart","we've",3
"598","the","middle","of",3
"599","is","trying","to",3
"600","pperiod","you","can't",3
"601","pperiod","i'm","going",3
"602","sstart","sstart","alright",3
"603","this","is","just",3
"604","say","is","ccomma",3
"605","the","fire","lord",3
"606","you","want","to",3
"607","sstart","don't","worry",3
"608","sstart","sstart","ah",3
"609","sstart","ah","ccomma",3
"610","sstart","i'm","just",3
"611","ccomma","toph","ccomma",3
"612","you","ccomma","but",3
"613","all","of","us",3
"614","is","that","thing",3
"615","just","trying","to",3
"616","i","was","so",3
"617","sstart","zuko","ccomma",3
"618","for","him","pperiod",3
"619","it","eexclamation","i",3
"620","the","desert","pperiod",3
"621","ccomma","what","happened",3
"622","at","the","north",3
"623","pperiod","we","have",3
"624","se","pperiod","eend",3
"625","ccomma","toph","qquestion",3
"626","toph","qquestion","eend",3
"627","to","do","it",3
"628","aang","ccomma","get",3
"629","ccomma","get","up",3
"630","sokka","ccomma","i",3
"631","ccomma","i","was",3
"632","we","can","find",3
"633","sstart","yes","pperiod",3
"634","in","the","desert",3
"635","to","get","to",3
"636","the","desert","ccomma",3
"637","ccomma","and","we",3
"638","in","ba","sing",3
"639","about","qquestion","eend",3
"640","sstart","it's","a",3
"641","bear","pperiod","eend",3
"642","and","this","is",3
"643","sstart","you're","not",3
"644","toph","pperiod","eend",3
"645","sstart","sstart","now",3
"646","ccomma","toph","pperiod",3
"647","pperiod","and","i",3
"648","you","are","pperiod",3
"649","sstart","the","dai",3
"650","dad","eexclamation","eend",3
"651","and","i","can't",3
"652","want","to","help",3
"653","water","from","the",3
"654","sstart","you","need",3
"655","pperiod","you","need",3
"656","rest","pperiod","eend",3
"657","so","much","pperiod",3
"658","qquestion","i","mean",3
"659","that","i","know",3
"660","wish","i","could",3
"661","town","pperiod","eend",3
"662","say","that","pperiod",3
"663","trying","to","help",3
"664","i","felt","like",3
"665","ccomma","it's","so",3
"666","such","a","thing",3
"667","no","choice","pperiod",3
"668","choice","pperiod","eend",3
"669","you","act","like",3
"670","sokka","ccomma","do",3
"671","no","kidding","pperiod",3
"672","pperiod","i","wanted",3
"673","it","is","pperiod",3
"674","pperiod","maybe","that's",3
"675","going","to","find",3
"676","now","that","i",3
"677","sstart","sstart","mum",3
"678","hey","eexclamation","eend",2
"679","i'm","not","the",2
"680","the","one","who",2
"681","in","the","water",2
"682","the","water","pperiod",2
"683","eexclamation","go","left",2
"684","go","left","eexclamation",2
"685","left","eexclamation","eend",2
"686","it's","my","fault",2
"687","sstart","you","are",2
"688","sstart","ugh","ccomma",2
"689","to","you","eexclamation",2
"690","all","the","work",2
"691","let","me","tell",2
"692","me","tell","you",2
"693","tell","you","ccomma",2
"694","no","ccomma","that's",2
"695","from","now","on",2
"696","on","your","own",2
"697","sstart","you","mean",2
"698","eexclamation","we","have",2
"699","have","to","help",2
"700","is","it","qquestion",2
"701","oh","ccomma","yeah",2
"702","sstart","sstart","we'd",2
"703","give","you","a",2
"704","you","know","ppause",2
"705","sstart","why","are",2
"706","if","you","had",2
"707","pperiod","goodnight","pperiod",2
"708","we're","in","the",2
"709","on","ccomma","get",2
"710","sstart","well","ppause",2
"711","yet","pperiod","eend",2
"712","i","told","you",2
"713","eexclamation","i","finally",2
"714","i","can","tell",2
"715","have","you","seen",2
"716","you","catch","a",2
"717","we","haven't","had",2
"718","in","a","long",2
"719","long","time","pperiod",2
"720","time","pperiod","it's",2
"721","side","of","the",2
"722","the","world","pperiod",2
"723","mean","ccomma","i",2
"724","before","pperiod","eend",2
"725","ccomma","and","a",2
"726","was","a","little",2
"727","pperiod","it","was",2
"728","was","part","of",2
"729","aang","ccomma","how",2
"730","ccomma","how","long",2
